family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-01285148-v	hollow	19	149	352	13	dig	0	19	0.0	0	0	0	0	0	0
oewn-02584595-v	observe	10	149	1748	7	keep	0	10	0.0	0	0	0	0	0	0
oewn-02122959-v	notice	6	149	774	6	notice	2	6	0.33	2	0	0	0	0	0
oewn-00344828-v	happen	5	149	806	4	appear	0	5	0.0	0	0	0	0	0	0
oewn-01357376-v	connect	20	148	877	14	join	0	20	0.0	0	0	0	0	0	0
oewn-00589616-v	grok	19	148	541	12	figure	1	19	0.05	1	0	0	0	0	0
oewn-00950103-v	count	18	148	791	11	add	1	18	0.06	0	1	0	0	0	0
oewn-00426024-v	appear	8	148	660	5	appear	0	8	0.0	0	0	0	0	0	0
oewn-00929986-v	indicate	7	148	1913	7	call	0	7	0.0	0	0	0	0	0	0
oewn-01852297-v	stay in place	7	148	838	4	remain	0	7	0.0	0	0	0	0	0	0
oewn-00087488-v	contract	4	148	5242	4	take	3	4	0.75	0	3	0	0	0	0
oewn-01143220-v	fish	14	147	334	9	fish	0	14	0.0	0	0	0	0	0	0
oewn-01991174-v	position	10	147	3117	8	take	0	10	0.0	0	0	0	0	0	0
oewn-00886738-v	oblige	9	147	1008	6	hold	0	9	0.0	0	0	0	0	0	0
oewn-02133118-v	watch	7	146	865	6	watch	3	7	0.43	3	0	0	0	0	0
oewn-00895399-v	excuse	5	146	415	5	frank	0	5	0.0	0	0	0	0	0	0
oewn-00807038-v	agree	20	145	1733	18	hold	0	20	0.0	0	0	0	0	0	0
oewn-01347791-v	close	12	145	1226	10	close	5	12	0.42	5	0	0	0	0	0
oewn-00251067-v	mature	7	145	1887	5	find	0	7	0.0	0	0	0	0	0	0
oewn-01217985-v	get	7	145	2882	6	get	0	7	0.0	0	0	0	0	0	0
oewn-02126629-v	ache	13	144	802	13	bite	9	13	0.69	0	9	0	0	0	0
